,Genre,Language,Nudity,Rating,Sex,Title,Violence
0,Comedy,Heavy,None,,None,Eighth Grade,Light
1,Drama,Heavy,Heavy,R,Medium,"Don’T Worry, He Won’T Get Far On Foot",Light
2,Thriller,Light,None,Not Yet Rated,Light,Searching,Light
3,Action,Medium,Light,PG-13,None,Skyscraper,Medium
4,Documentary,Heavy,Light,R,Medium,Whitney,Light
5,Animated,None,Light,PG,None,Hotel Transylvania 3: Summer Vacation,Light
6,Drama,None,None,PG,Light,Leave No Trace,Light
7,Romantic Comedy,Heavy,Light,,Medium,Set It Up,None
8,Thriller,Heavy,Medium,R,Medium,The First Purge,Heavy
9,Dramatic Comedy,Medium,None,TV-14,Light,Candy Jar,None
10,Drama,Light,None,,Light,Come Sunday,None
11,Western,Medium,Light,R,None,Woman Walks Ahead,Medium
12,Comedy,Heavy,None,,None,Eighth Grade,Light
13,Drama,Heavy,Heavy,R,Medium,"Don’T Worry, He Won’T Get Far On Foot",Light
14,Thriller,Light,None,Not Yet Rated,Light,Searching,Light
15,Action,Medium,Light,PG-13,None,Skyscraper,Medium
16,Documentary,Heavy,Light,R,Medium,Whitney,Light
17,Animated,None,Light,PG,None,Hotel Transylvania 3: Summer Vacation,Light
18,Drama,None,None,PG,Light,Leave No Trace,Light
19,Romantic Comedy,Heavy,Light,,Medium,Set It Up,None
20,Thriller,Heavy,Medium,R,Medium,The First Purge,Heavy
21,Dramatic Comedy,Medium,None,TV-14,Light,Candy Jar,None
22,Drama,Light,None,,Light,Come Sunday,None
23,Western,Medium,Light,R,None,Woman Walks Ahead,Medium
24,Drama,Heavy,None,Not Rated,Light,Little Pink House,Light
25,Thriller,Heavy,Light,R,Light,Escape Plan 2: Hades,Heavy
26,Drama,Light,Medium,R,Medium,A Prayer Before Dawn,Heavy
27,Drama,None,None,PG,None,God Bless The Broken Road,Light
28,Science Fiction,Heavy,Light,PG-13,None,Ant-Man And The Wasp,Medium
29,Thriller,Heavy,None,R,None,Sicario: Day Of The Soldado,Heavy
30,Thriller,Heavy,Light,R,Light,American Animals,Medium
31,Comedy,Medium,Light,PG-13,Light,Uncle Drew,Light
32,Drama,Medium,None,PG-13,Medium,Hearts Beat Loud,None
33,Drama,Heavy,Light,R,Light,Gotti,Heavy
34,Drama,None,None,G,None,Johnny Tremain,Light
35,Western,None,Heavy,R,Light,Damsel,None
36,Science Fiction,Medium,None,PG-13,None,Jurassic World: Fallen Kingdom,Medium
37,Comedy,Heavy,Light,R,Medium,Tag,Medium
38,Crime Drama,Heavy,Medium,R,Heavy,Superfly (2018),Heavy
39,Drama,None,None,Not Rated,None,Catching Faith,Light
40,Animated,Light,None,PG,None,Incredibles 2,Light
41,Thriller,Heavy,None,R,Light,Hotel Artemis,Heavy
42,Comedy,Heavy,Heavy,R,Medium,Boundaries (2018),Light
43,Drama,Light,Medium,PG-13,Medium,Mary Shelley,Light
44,Action Adventure,Light,None,Not Rated,None,Solver,Medium
